num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
52,mcs_vc2_turkey,turkey,turkey,turkey,turkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,turkey
53,mcs_vc2_turtle,turtle,turtle,turtle,turtle,animals,Noun,Noun,Noun,Noun,Noun,Noun,turtle
54,mcs_vc2_wolf,wolf,wolf,wolf,wolf,animals,Noun,Noun,Noun,Noun,Noun,Noun,wolf
55,mcs_vc2_zebra,zebra,zebra,zebra,zebra,animals,Noun,Noun,Noun,Noun,Noun,Noun,zebra
56,mcs_vc3_airplane,airplane,airplane,airplane,airplane,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,airplane
57,mcs_vc3_bicycle,bicycle,bicycle,bicycle,bicycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bicycle
58,mcs_vc3_boat,boat,boat,boat,boat,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,boat
59,mcs_vc3_bus,bus,bus,bus,bus,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bus
60,mcs_vc3_car,car,car,car,car,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,car
61,mcs_vc3_firetruck,firetruck,firetruck,firetruck,firetruck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,firetruck
62,mcs_vc3_helicopter,helicopter,helicopter,helicopter,helicopter,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,helicopter
63,mcs_vc3_motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,motorcycle
64,mcs_vc3_sled,sled,sled,sled,sled,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,sled
65,mcs_vc3_stroller,stroller,stroller,stroller,stroller,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,stroller
66,mcs_vc3_tractor,tractor,tractor,tractor,tractor,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,tractor
