num_item_id,word,replacement_word,replacement_word2,word_WordBank1,word_WordBank2,category,WG_class,class,classEH,RescorlaSafyer_Class,classEHse,classVerbs,CDI_Metadata_compatible
60,mcg_vc3_car,car,car,car,car,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,car
61,mcg_vc3_fire,firetruck,firetruck,firetruck,firetruck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,firetruck
63,mcg_vc3_motor,motorcycle,motorcycle,motorcycle,motorcycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,motorcycle
65,mcg_vc3_strol,stroller,stroller,stroller,stroller,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,stroller
67,mcg_vc3_train,train,train,train,train,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,train
69,mcg_vc3_trck,truck,truck,truck,truck,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,truck
70,mcg_vc4_ball,ball,ball,ball,ball,toys,Noun,Noun,Noun,Noun,Noun,Noun,ball
71,mcg_vc4_blln,balloon,balloon,balloon,balloon,toys,Noun,Noun,Noun,Noun,Noun,Noun,balloon
73,mcg_vc4_blck,block,block,block,block,toys,Noun,Noun,Noun,Noun,Noun,Noun,block
74,mcg_vc4_book,book,book,book,book,toys,Noun,Noun,Noun,Noun,Noun,Noun,book
75,mcg_vc4_bubb,bubbles,bubbles,bubbles,bubbles,toys,Noun,Noun,Noun,Noun,Noun,Noun,bubbles
78,mcg_vc4_doll,doll,doll,doll,doll,toys,Noun,Noun,Noun,Noun,Noun,Noun,doll
81,mcg_vc4_pen,pen,pen,pen,pen,toys,Noun,Noun,Noun,Noun,Noun,Noun,pen
87,mcg_vc4_toy,toy,toy,toy (object),toy_obj,toys,Noun,Noun,Noun,Noun,Noun,Noun,toy (object)
88,mcg_vc5_appl,apple,apple,apple,apple,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,apple
90,mcg_vc5_bana,banana,banana,banana,banana,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,banana
92,mcg_vc5_brd,bread,bread,bread,bread,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,bread
93,mcg_vc5_bttr,butter,butter,butter,butter,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,butter
94,mcg_vc5_cake,cake,cake,cake,cake,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cake
95,mcg_vc5_cndy,candy,candy,candy,candy,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,candy
96,mcg_vc5_crrt,carrots,carrots,carrots,carrots,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,carrots
97,mcg_vc5_cerl,cereal,cereal,cereal,cereal,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cereal
98,mcg_vc5_cheer,cheerios,cheerios,cheerios,cheerios,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheerios
99,mcg_vc5_cheese,cheese,cheese,cheese,cheese,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cheese
100,mcg_vc5_chick,chicken,chicken,chicken (food),chicken_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,chicken (food)
102,mcg_vc5_coff,coffee,coffee,coffee,coffee,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,coffee
104,mcg_vc5_ckie,cookie,cookie,cookie,cookie,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cookie
106,mcg_vc5_crckr,cracker,cracker,cracker,cracker,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,cracker
108,mcg_vc5_drk,drink,drink,drink (beverage),drink_bev,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,drink (beverage)
109,mcg_vc5_egg,egg,egg,egg,egg,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,egg
